timestamp,SWDOWN,lat_min,lat_max,lon_min,lon_max,date,hour,day,month
2019-05-03 18:00:00,212.42123,19.3,19.75,-99.26,-98.88,2019-05-03,18,3,5
2019-05-03 18:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,18,3,5
2019-05-03 18:00:00,155.32352,19.3,19.75,-99.26,-98.88,2019-05-03,18,3,5
2019-05-03 19:00:00,2.5240874,19.3,19.75,-99.26,-98.88,2019-05-03,19,3,5
2019-05-03 19:00:00,7.157931,19.3,19.75,-99.26,-98.88,2019-05-03,19,3,5
2019-05-03 19:00:00,2.342053,19.3,19.75,-99.26,-98.88,2019-05-03,19,3,5
2019-05-03 19:00:00,1.976709,19.3,19.75,-99.26,-98.88,2019-05-03,19,3,5
2019-05-03 20:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,20,3,5
2019-05-03 20:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,20,3,5
2019-05-03 20:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,20,3,5
2019-05-03 20:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,20,3,5
2019-05-03 21:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,21,3,5
2019-05-03 21:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,21,3,5
2019-05-03 21:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,21,3,5
2019-05-03 21:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,21,3,5
2019-05-03 22:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,22,3,5
2019-05-03 22:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,22,3,5
2019-05-03 22:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,22,3,5
2019-05-03 22:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,22,3,5
2019-05-03 23:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,23,3,5
2019-05-03 23:00:00,0.0,19.3,19.75,-99.26,-98.88,2019-05-03,23,3,5
